1,Appetizers,Double Stuffed Potato Spring Rolls,$7.50,"creamy mashed potatoes with a touch of green onion, rolled in crispy Asian wrappers topped with melted cheddar, applewood smoked bacon and green onion, served with sour cream"
1,Appetizers,Vietnamese Chicken Summer Rolls,$8.95,"chicken, asparagus, red and yellow peppers, carrots and rice noodles rolled in a wrapper, served cold with spicy peanut sauce"
1,Appetizers,Buffalo Chicken Rolls,$8.95,"chicken breast, cheese and our very spicy delicious buffalo sauce all rolled in a spicy wrapper and fried until crisp, served with celery sticks and blue cheese dressing"
1,Appetizers,Chicken Lettuce Wraps,$9.50,"sauteed chicken breast and vegetables in a delicious Asian sauce, served with cool lettuce wraps"
1,Appetizers,Crispy Thai Shrimp and Chicken Spring Rolls,$7.95,served with Thai sweet hot chili sauce
1,Appetizers,Spicy Santa Fe Rolls,$8.95,"crispy wrappers filled with special chicken, corn, black beans, onions, peppers and cheese"
1,Appetizers,Crispy Flautas,$8.95,"flour tortillas filled with chicken, poblano chiles, cilantro and pepper Jack cheese, fried crispy and served with avocado sauce"
1,Appetizers,Stacked Chicken Quesadilla,$8.95,"tortillas layered with melted cheese, chicken, tomato, black beans and green chiles, topped with avocado corn salsa"
1,Appetizers,Creamy Spinach and Cheese Dip,$9.95,combined with artichoke hearts and served with crisp tortilla chips and salsa
1,Appetizers,Dim Sum,$9.95,"two person minimum a combination of appetizer favorites, Island glazed ribs tempura rock shrimp, lettuce cups, summer rolls, coco-mac chicken satays and buffalo chicken rolls "
1,Appetizers,Duck Potstickers,$7.95,"duck breast, shiitake mushrooms and crispy vegetables in a spicy hoisin sauce, steamed then sauteed until crisp"
1,Appetizers,Coco Mac Chicken Satay,$8.95,coconut and macadamia nut coated chicken skewers served with fantastic Island style sauces
1,Appetizers,Asian Nachos,$8.95,"crispy fried wontons covered with chicken in a sweet hot peanut sauce, topped with wasabi cream and melted cheese"
1,Appetizers,Tempura Rock Shrimp,$9.95,"fried crisp, drizzled with sweet hot mustard"
1,Appetizers,Island Glazed Ribs,$10.95,roasted and glazed with a sweet soy ginger B.B.Q. sauce
1,Appetizers,Crispy Ahi Sushi Roll,$11.50,"sushi rice wrapped in nori filled with ahi, avocado, ginger, green onion and spicy chili sauce flash fried crisp"
1,Appetizers,"Fried Calamari, Rock Shrimp and Vegetables",$10.95,"enough for two, served with lemon tartar sauce"
1,Appetizers,Crabcakes,$10.95,served with spicy mustard sauce
1,Appetizers,Seared Rare Ahi,$12.95,"slices of nori wrapped ahi tuna seared rare, garnished with three salads, soy sake dip and wasabi cream"
1,Appetizers,The Grand Appetizer Platter,$27.95,"serves four or more a grand assortment of our most popular appetizers including spinach artichoke dip, crispy Thai shrimp and chicken spring rolls, duck potstickers, buffalo chicken rolls, coco mac chicken satay and Vietnamese chicken summer rolls, add seared ahi, crispy ahi sushi roll and edamame for an additional 11.95"
1,Appetizers,Edamame,$4.95,soybeans in their pods stir fried with spicy szechuan sauce
1,Appetizers,Today's Soups,$6.50,""
1,Appetizer Salads,House Green Salad,$6.50,tossed in our roasted tomato caramelized onion vinaigrette with crumbled gorgonzola cheese 1.00 additional
1,Appetizer Salads,Blue Cheese Salad,$7.95,"fresh greens tossed with blue cheese dressing and topped with bacon, tomato, croutons and more blue cheese crumbles"
1,Appetizer Salads,Iceberg Lettuce Wedge,$7.95,"with Thousand Island, bacon, tomato and grated egg"
1,Appetizer Salads,Beet and Goat Cheese Salad,$8.50,"mixed greens, roasted beets, mild goat cheese and candred walnuts"
1,Appetizer Salads,Greek Salad,$8.95,"feta cheese, cherry tomatoes, cucumber, red onion, kalamata olives and lettuce, tossed in our house vinaigrette"
1,Appetizer Salads,Spicy Calamari Salad,$8.50,"crispy calamari, mixed greens, carrots, cucumber and green onions tossed with a delicious spicy vinaigrette"
1,Appetizer Salads,Caprese Salad,$8.95,"slices of fresh basil marinated mozzarella, tomato and parmesan served with a spinach and arugala salad"
1,Appetizer Salads,Chopped Salad,$9.50,"grilled chicken, bacon, tomato, blue cheese, avocado, egg and mixed greens tossed in our vinaigrette"
1,Appetizer Salads,Caesar Salad,$8.95 - $11.95,whole Romaine leaves with parmesan crisps
1,Oven Baked Rustic Pizza,Margherita,$87.95,"with fresh tomato, basil and mozzarella"
1,Oven Baked Rustic Pizza,Pepperoni,$9.95,""
1,Oven Baked Rustic Pizza,B.B.Q. Chicken,$9.95,""
1,Oven Baked Rustic Pizza,Thai Chicken,$9.95,"grilled chicken, spicy peanut sauce, bean sprouts, carrots, green onion, basil, cilantro and mozzarella"
1,Oven Baked Rustic Pizza,Fresh Mozzarella,$9.95,"with roasted tomatoes, spinach, artichoke and a touch of garlic"
1,Burgers and Sandwiches,The Chop House Burger,$9.95,"certified angus beef, served with fries, your choice of cheese, bacon, avocado or sauteed mushrooms $1.00 each"
1,Burgers and Sandwiches,Grand Lux Burger Melt,$10.95,"on grilled parmesan cheese bread with lots of cheddar cheese, grilled onions and Thousand Island dressing, served with fries"
1,Burgers and Sandwiches,Cafe Burger,$11.95,"topped with melted fontina and blur cheese, crisp bacon and sweet caramelized onions, served on a seeded French roll with fries"
1,Burgers and Sandwiches,The Max Burger,$12.95,"our greatest hamburger creation, certified angus beef topped with cheddar cheese, crisp applewood smoked bacon, sauteed mushrooms, onions and roasted short ribs, served with fries"
